,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
42,26,Yes,0,1357,0,25,3,5,55,1,0,48,1,1,6,3,0,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1
43,27,No,1,994,1,8,3,5,56,4,0,37,3,3,8,3,0,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7
44,30,No,1,721,0,1,2,4,57,3,1,58,3,2,6,4,0,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7
45,41,Yes,0,1360,0,12,3,2,58,2,1,49,3,5,1,3,2,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8
46,34,No,2,1065,1,23,4,3,60,2,0,72,3,2,8,3,0,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7
47,37,No,0,408,0,19,2,5,61,2,0,73,3,1,7,2,2,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0
48,46,No,1,1211,1,5,4,3,62,1,0,98,3,2,8,4,0,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8
49,35,No,0,1229,0,8,1,5,63,4,0,36,4,1,6,4,2,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1
50,48,Yes,0,626,0,1,2,5,64,1,0,98,2,3,6,3,0,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0
51,28,Yes,0,1434,0,5,4,2,65,3,0,50,3,1,6,3,0,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2
52,44,No,0,1488,1,1,5,3,68,2,1,75,3,2,8,1,1,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3
53,35,No,2,1097,0,11,2,4,70,3,0,79,2,3,4,1,2,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3
54,26,No,0,1443,1,23,3,3,72,3,1,47,2,2,8,4,2,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0
55,33,No,1,515,0,1,2,5,73,1,1,98,3,3,1,4,0,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12
56,35,No,1,853,1,18,5,5,74,2,0,71,3,3,8,1,2,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8
57,35,No,0,1142,0,23,4,4,75,3,1,30,3,1,6,1,2,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2
58,31,No,0,655,0,7,4,5,76,4,0,48,3,2,6,4,1,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7
59,37,No,0,1115,0,1,4,5,77,1,0,51,2,2,5,3,1,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7
60,32,No,0,427,0,1,3,4,78,1,0,33,3,2,5,4,2,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8
61,38,No,1,653,0,29,5,5,79,4,1,50,3,2,6,4,0,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9
62,50,No,0,989,0,7,2,4,80,2,1,43,2,5,1,3,1,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8
63,59,No,0,1435,1,25,3,5,81,1,1,99,3,3,8,1,0,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9
64,36,No,0,1223,0,8,3,2,83,3,1,59,3,3,4,3,1,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8
65,55,No,0,836,0,8,3,4,84,4,1,33,3,4,3,3,1,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2
66,36,No,1,1195,0,11,3,5,85,2,0,95,2,2,5,2,0,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3
67,45,No,0,1339,0,7,3,5,86,2,0,59,3,3,7,1,1,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0
68,35,No,1,664,0,1,3,4,88,2,0,79,3,1,7,1,2,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2
69,36,Yes,0,318,0,9,3,4,90,4,0,79,2,1,7,3,2,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0
70,59,No,1,1225,1,1,1,5,91,1,1,57,2,2,8,3,0,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3
71,29,No,0,1328,0,2,3,5,94,3,0,76,3,1,7,2,2,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4
72,31,No,0,1082,0,1,4,4,95,3,0,87,3,1,7,2,0,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0
73,32,No,0,548,0,1,3,5,96,2,0,66,3,2,7,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9
74,36,No,0,132,0,6,3,5,97,2,1,55,4,1,6,4,2,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0
75,31,No,0,746,0,8,4,5,98,3,1,61,3,2,5,4,0,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8
76,35,No,0,776,1,1,4,3,100,3,0,32,2,2,8,1,0,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8
77,45,No,0,193,0,6,4,1,101,4,0,52,3,3,1,1,2,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0
78,37,No,0,397,0,7,4,4,102,1,0,30,3,3,1,3,0,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2
79,46,No,0,945,2,5,2,4,103,2,0,80,3,2,0,2,1,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2
80,30,No,0,852,0,1,1,5,104,4,0,55,2,2,6,4,2,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0
81,35,No,0,1214,0,1,3,4,105,2,0,30,2,1,7,3,0,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4
82,55,No,0,111,1,1,2,5,106,1,0,70,3,3,8,4,2,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0
83,38,No,2,573,0,6,3,4,107,2,1,79,1,2,7,4,1,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9
84,34,No,0,1153,0,1,2,4,110,1,0,94,3,2,5,2,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3
85,56,No,0,1400,0,7,3,5,112,4,0,49,1,3,5,4,0,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2
86,23,No,0,541,1,2,1,2,113,3,0,62,3,1,2,1,1,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0
87,51,No,0,432,0,9,4,5,116,4,0,96,3,1,6,4,2,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3
88,30,No,0,288,0,2,3,5,117,3,0,99,2,2,4,4,2,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8
89,46,Yes,0,669,1,9,2,4,118,3,0,64,2,3,8,4,0,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7
90,40,No,1,530,0,1,4,5,119,3,0,78,2,4,4,2,2,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11
91,51,No,0,632,1,21,4,3,120,3,0,71,3,2,8,4,0,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0
92,30,No,0,1334,1,4,2,4,121,3,1,63,2,2,8,2,1,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7
93,46,No,1,638,0,1,3,4,124,3,0,40,2,3,4,1,2,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5
94,32,No,0,1093,1,6,4,4,125,2,0,87,3,2,8,3,0,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7
95,54,No,0,1217,0,2,4,2,126,1,1,60,3,3,1,3,2,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3
96,24,No,0,1353,1,3,2,1,128,1,1,33,3,2,8,3,2,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2
97,28,No,2,120,1,4,3,4,129,2,0,43,3,2,8,3,2,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4
98,58,No,0,682,1,10,4,4,131,4,0,37,3,4,8,3,0,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8
99,44,No,2,489,0,23,3,4,132,2,0,67,3,2,6,2,2,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2
100,37,Yes,0,807,2,6,4,0,133,3,0,63,3,1,0,1,1,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2
101,32,No,0,827,0,1,1,5,134,4,0,71,3,1,7,1,0,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0
102,20,Yes,1,871,0,6,3,5,137,4,1,66,2,1,6,4,0,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0
103,34,No,0,665,0,6,4,1,138,1,1,41,3,2,7,3,0,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10
104,37,No,2,1040,0,2,2,5,139,3,0,100,2,2,4,4,1,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0
105,59,No,2,1420,2,2,4,0,140,3,1,32,2,5,3,4,2,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2
106,50,No,1,1115,0,1,3,5,141,1,1,73,3,5,1,2,2,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7
107,25,Yes,0,240,1,5,3,3,142,3,0,46,2,2,8,3,0,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3
108,25,No,0,1280,0,7,1,4,143,4,0,64,2,1,7,4,2,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1
109,22,No,0,534,0,15,3,4,144,2,1,59,3,1,6,4,0,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0
110,51,No,1,1456,0,1,4,4,145,1,1,30,2,3,4,1,0,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8
111,34,Yes,1,658,0,7,3,5,147,1,0,66,1,2,6,3,0,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6
112,54,No,2,142,2,26,3,0,148,4,1,30,4,4,3,4,0,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4
113,24,No,0,1127,0,18,1,5,150,2,0,52,3,1,6,3,2,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2
114,34,No,0,1031,0,6,4,5,151,3,1,45,2,2,7,2,1,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0
115,37,No,0,1189,1,3,3,5,152,3,0,87,3,3,8,4,0,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3
116,34,No,0,1354,0,5,3,4,153,3,1,45,2,3,3,1,0,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8
117,36,No,1,1467,1,11,2,2,154,2,1,92,3,3,8,4,2,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8
118,36,No,0,922,0,3,2,5,155,1,1,39,3,1,6,4,1,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0
119,43,No,1,394,1,26,2,5,158,3,0,92,3,4,3,4,2,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12
120,30,No,1,1312,0,23,3,5,159,1,0,96,1,1,7,3,1,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9
121,33,No,2,750,1,22,2,3,160,3,0,95,3,2,8,2,2,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7
122,56,Yes,0,441,0,14,4,5,161,2,1,72,3,1,7,2,2,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3
123,51,No,0,684,0,6,3,5,162,1,0,51,3,5,1,3,0,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15
124,31,Yes,0,249,1,6,4,5,163,2,0,76,1,2,8,3,2,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7
125,26,No,0,841,0,6,3,1,164,3,1,46,2,1,7,2,2,2368,23300,1,0,19,3,3,0,5,3,2,5,4,4,3
126,58,Yes,0,147,0,23,4,4,165,4,1,94,3,3,4,4,2,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6
127,19,Yes,0,528,1,22,1,3,167,4,0,50,3,1,2,3,0,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0
128,22,No,0,594,0,2,1,2,169,3,0,100,3,1,6,4,2,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1
129,49,No,0,470,0,20,4,4,170,3,1,96,3,2,5,1,2,6567,5549,1,0,14,3,3,0,16,2,2,15,11,5,11
130,43,No,1,957,0,28,3,4,171,2,1,72,4,1,7,3,0,4739,16090,4,0,12,3,4,0,18,2,3,3,2,1,2
131,50,No,1,809,1,12,3,3,174,3,1,77,3,3,8,4,0,9208,6645,4,0,11,3,4,0,16,3,3,2,2,2,1
132,31,Yes,0,542,1,20,3,5,175,2,1,71,1,2,8,3,2,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2
133,41,No,0,802,1,9,1,5,176,3,0,96,3,3,8,3,1,8189,21196,3,1,13,3,3,1,12,2,3,9,7,0,7
134,26,No,0,1355,2,25,1,5,177,3,1,61,3,1,0,3,2,2942,8916,1,0,23,4,4,1,8,3,3,8,7,5,7
135,36,No,0,216,0,6,2,4,178,2,0,84,3,2,5,2,1,4941,2819,6,0,20,4,4,2,7,0,3,3,2,0,1
136,51,Yes,1,1150,0,8,4,5,179,1,0,53,1,3,5,4,0,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3
137,39,No,0,1329,1,4,4,5,182,4,1,47,2,2,8,3,2,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9
138,25,No,0,959,1,28,3,5,183,1,0,41,2,2,8,3,2,8639,24835,2,0,18,3,4,0,6,3,3,2,2,2,2
139,30,No,0,1240,2,9,3,0,184,3,0,48,3,2,0,4,2,6347,13982,0,1,19,3,4,0,12,2,1,11,9,4,7
140,32,Yes,0,1033,0,9,3,4,190,1,1,41,3,1,6,1,0,4200,10224,7,0,22,4,1,0,10,2,4,5,4,0,4
141,45,No,0,1316,0,29,3,4,192,3,0,83,3,1,7,4,0,3452,9752,5,0,13,3,2,0,9,2,2,6,5,0,3
142,38,No,0,364,0,3,5,2,193,4,1,32,3,2,7,3,0,4317,2302,3,1,20,4,2,0,19,2,3,3,2,2,2
143,30,No,0,438,0,18,3,5,194,1,1,75,3,1,7,3,0,2632,23910,1,0,14,3,3,0,5,4,2,5,4,0,4
144,32,No,1,689,1,9,2,4,195,4,0,35,1,2,8,4,1,4668,22812,0,0,17,3,4,3,9,2,4,8,7,0,7
145,30,No,0,201,0,5,3,2,197,4,1,84,3,1,7,1,1,3204,10415,5,0,14,3,4,1,8,3,3,3,2,2,2
146,30,No,0,1427,0,2,1,4,198,2,0,35,2,1,6,4,0,2720,11162,0,0,13,3,4,0,6,3,3,5,3,1,2
147,41,No,1,857,0,10,3,5,199,4,0,91,2,4,3,1,1,17181,12888,4,0,13,3,2,1,21,2,2,7,6,7,7
148,41,No,0,933,0,9,4,5,200,3,0,94,3,1,6,1,2,2238,6961,2,0,21,4,4,1,7,2,3,5,0,1,4
149,19,No,0,1181,0,3,1,4,201,2,1,79,3,1,6,2,0,1483,16102,1,0,14,3,4,0,1,3,3,1,0,0,0
150,40,No,1,1395,0,26,3,4,202,2,1,54,3,2,7,2,1,5605,8504,1,0,11,3,1,1,20,2,3,20,7,2,13
151,35,No,0,662,1,1,5,3,204,3,0,94,3,3,8,2,2,7295,11439,1,0,13,3,1,2,10,3,3,10,8,0,6
152,53,No,0,1436,1,6,2,3,205,2,0,34,3,2,2,3,2,2306,16047,2,1,20,4,4,1,13,3,1,7,7,4,5
153,45,No,0,194,0,9,3,5,206,2,0,60,3,2,6,2,1,2348,10901,8,0,18,3,3,1,20,2,1,17,9,0,15
154,32,No,1,967,1,8,3,3,207,2,1,43,3,3,8,4,0,8998,15589,1,0,14,3,4,0,9,2,3,9,8,3,7
155,29,No,2,1496,0,1,1,2,208,4,0,41,3,2,5,3,2,4319,26283,1,0,13,3,1,1,10,1,3,10,7,0,9
156,51,No,0,1169,0,7,4,4,211,2,0,34,2,2,5,3,2,6132,13983,2,0,17,3,3,0,10,2,3,1,0,0,0
157,58,No,0,1145,0,9,3,4,214,2,1,75,2,1,7,2,2,3346,11873,4,1,20,4,2,1,9,3,2,1,0,0,0
158,40,No,0,630,1,4,4,3,215,3,0,67,2,3,8,4,2,10855,8552,7,0,11,3,1,1,15,2,2,12,11,2,11
159,34,No,1,303,1,2,4,3,216,3,1,75,3,1,2,3,2,2231,11314,6,0,18,3,4,1,6,3,3,4,3,1,2
160,22,No,0,1256,0,19,1,4,217,3,0,80,3,1,7,4,2,2323,11992,1,0,24,4,1,2,2,6,3,2,2,2,2
161,27,No,2,691,0,9,3,4,218,4,0,57,3,1,7,2,1,2024,5970,6,0,18,3,4,1,6,1,1,2,2,2,2
162,28,No,0,440,0,21,3,4,221,3,0,42,3,1,7,4,2,2713,6672,1,0,11,3,3,1,5,2,1,5,2,0,2
163,57,No,0,334,0,24,2,5,223,3,0,83,4,3,4,4,1,9439,23402,3,1,16,3,2,1,12,2,1,5,3,1,4
164,27,No,2,1450,0,3,3,4,224,3,0,79,2,1,7,3,1,2566,25326,1,1,15,3,4,1,1,2,2,1,1,0,1
165,50,No,0,1452,0,11,3,5,226,3,1,53,3,5,3,2,0,19926,17053,3,0,15,3,2,0,21,5,3,5,4,4,4
166,41,No,0,465,0,14,3,5,227,1,0,56,3,1,7,3,1,2451,4609,4,0,12,3,1,1,13,2,3,9,8,1,8
167,30,No,0,1339,1,5,3,5,228,2,1,41,3,3,8,4,2,9419,8053,2,0,12,3,3,1,12,2,3,10,9,7,4
168,38,No,0,702,1,1,4,5,230,1,1,59,2,2,8,4,0,8686,12930,4,0,22,4,3,0,12,2,4,8,3,0,7
169,32,No,0,120,0,6,5,5,231,3,0,43,3,1,7,3,0,3038,12430,3,0,20,4,1,0,8,2,3,5,4,1,4
170,27,No,0,1157,0,17,3,2,233,3,0,51,3,1,7,2,2,3058,13364,0,1,16,3,4,1,6,3,2,5,2,1,1
171,19,Yes,1,602,1,1,1,2,235,3,1,100,1,1,2,1,0,2325,20989,0,0,21,4,1,0,1,5,4,0,0,0,0
172,36,No,1,1480,0,3,2,4,238,4,0,30,3,1,6,2,0,2088,15062,4,0,12,3,3,0,13,3,2,8,7,7,2
173,30,No,2,111,0,9,3,4,239,3,0,66,3,2,6,1,1,3072,11012,1,0,11,3,3,2,12,4,3,12,9,6,10
174,45,No,0,1268,1,4,2,5,240,3,1,30,3,2,8,1,1,5006,6319,4,1,11,3,1,1,9,3,4,5,4,0,3
175,56,No,0,713,0,8,3,5,241,3,1,67,3,1,7,1,1,4257,13939,4,1,18,3,3,1,19,3,3,2,2,2,2
176,33,No,0,134,0,2,3,5,242,3,0,90,3,1,7,4,0,2500,10515,0,0,14,3,1,0,4,2,4,3,1,0,2
177,19,Yes,0,303,0,2,3,5,243,2,0,47,2,1,6,4,0,1102,9241,1,0,22,4,3,0,1,3,2,1,0,1,0
178,46,No,0,526,1,1,2,3,244,2,1,92,3,3,8,1,1,10453,2137,1,0,25,4,3,3,24,2,3,24,13,15,7
179,38,No,0,1380,0,9,2,5,245,3,1,75,3,1,6,4,0,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1
180,31,No,0,140,0,12,1,4,246,3,1,95,3,1,7,4,2,3929,6984,8,1,23,4,3,1,7,0,3,4,2,0,2
181,34,No,0,629,0,27,2,4,247,4,1,95,3,1,7,2,0,2311,5711,2,0,15,3,4,0,9,3,3,3,2,1,2
182,41,Yes,0,1356,1,20,2,3,248,2,1,70,3,1,2,2,0,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2
183,50,No,0,328,0,1,3,4,249,3,0,86,2,1,6,3,2,3690,3425,2,0,15,3,4,1,5,2,2,3,2,0,2
184,53,No,0,1084,0,13,2,4,250,4,1,57,4,2,5,1,1,4450,26250,1,0,11,3,3,2,5,3,3,4,2,1,3
185,33,No,0,931,0,14,3,4,252,4,1,72,3,1,7,2,2,2756,4673,1,0,13,3,4,1,8,5,3,8,7,1,6
186,40,No,0,989,0,4,1,4,253,4,1,46,3,5,3,3,2,19033,6499,1,0,14,3,2,1,21,2,3,20,8,9,9
187,55,No,0,692,0,14,4,4,254,3,0,61,4,5,1,2,0,18722,13339,8,0,11,3,4,0,36,3,3,24,15,2,15
188,34,No,1,1069,0,2,1,5,256,4,0,45,2,2,5,3,2,9547,14074,1,0,17,3,3,0,10,2,2,10,9,1,9
189,51,No,0,313,0,3,3,4,258,4,1,98,3,4,4,2,0,13734,7192,3,0,18,3,3,0,21,6,3,7,7,1,0
190,52,No,0,699,0,1,4,5,259,3,0,65,2,5,3,3,2,19999,5678,0,0,14,3,1,1,34,5,3,33,18,11,9
191,27,No,0,894,0,9,3,4,260,4,1,99,3,1,7,2,0,2279,11781,1,0,16,3,4,0,7,2,2,7,7,0,3
192,35,Yes,0,556,0,23,2,5,261,2,0,50,2,2,5,3,2,5916,15497,3,1,13,3,1,0,8,1,3,1,0,0,1
193,43,No,2,1344,0,7,3,4,262,4,0,37,4,1,7,4,1,2089,5228,4,0,14,3,4,3,7,3,4,5,4,2,2
194,45,No,2,1195,0,2,2,4,264,1,0,65,2,4,3,4,2,16792,20462,9,0,23,4,4,1,22,1,3,20,8,11,8
195,37,No,0,290,0,21,3,5,267,2,0,65,4,1,7,1,2,3564,22977,1,1,12,3,1,1,8,3,2,8,7,1,7
